MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,Z_VALUE,FLUX_V,FLUX_g,FLUX_r,BIBLIO,OTYPE_2,RA_2_A_ICRS_J2000_2000_d,DEC_2_D_ICRS_J2000_2000_d,SCRIPT_NUMBER_ID,Z,url,symbol,coord_x,coord_y,x_mm,y_mm,nuv_mag,slit_width,slit_length,yline_mm,NUV_ned,FUV_ned,spectra,em_line,wave,X_IMAGE,Y_IMAGE,X_IMAGE_line
87GB 004432.0+030343,11.77466105461,3.33188467509,14,14,0.03849999979138374,0.022600000724196434,90,A,O,2020yCat.1350....0G,Seyfert1,0.624,16.3700008392334,,,2020A&A...644A.159C|2020ApJ...897...23F|2020ApJ...900....9L|2020ApJ...905..133Z|2019ApJ...887....5L|2019ApJS..242....5X|2018ApJ...866...33L|2018MNRAS.476.4965M|2017ApJ...844...23P|2016AJ....152...25M|2016ApJ...818..113N|2016ApJS..224....2H|2015ApJ...804...79L|2014ApJ...787..147F|2014ApJS..215...14D|2013A&A...550A..41C|2013AJ....146....5P|2012ApJ...751...52E|2011ApJ...736...42R|2010A&A...511A..53V|2010A&A...518A..10V|2010A&A...520A.113B|2009ApJS..184..138H|2009MNRAS.397..265S|2009MNRAS.400.1493K|2007ApJ...664...53A|2007ApJ...666..757S|2007ApJS..168....1K|2007MNRAS.376.1227K|2006A&A...455..773V|2006ApJS..163..110S|2005ApJ...618..108B|2005ApJ...618..592S|2005ApJ...619...86C|2004ApJS..150...73E|2004MNRAS.347..607B|2003A&A...402...87H|2003A&A...406..535Z|2003A&A...412..707R|2003ApJS..145..199M|2003MNRAS.346.1103P|2002ApJ...571..654D|2002ApJ...571..665S|2002ApJS..140..143B|2002ApJS..140..331L|2002ApJS..143..257K|2002MNRAS.335..555K|2001ApJ...549..133G|2001ApJ...560..101P|2001NewAR..45..617H|2001NewAR..45..625K|2000A&A...354..453H|2000ApJ...543..552S|2000ApJS..129..563S|2000ApJS..131..335R|1999AGAb...15...51M|1999AGAb...15..135H|1999AcApS..19..121W|1999ApJ...513...76W|1998A&A...334...39S|1998ApJ...506....1W|1998MNRAS.301.1019R|1998PASP..110..111H|1997A&A...319..413B|1997AJ....114....1K|1997PASP..109...39R|1996AJ....111..645F|1996AJ....111.2167H|1996ApJ...463..466D|1996ApJ...471..106F|1996ApJ...473..110U|1996ApJS..102....1B|1996ApJS..104...37M|1996MNRAS.282..117G|1995A&A...298...22M|1995A&A...298..375F|1995A&AS..109..147B|1995ApJ...438..632L|1995ApJ...440..435L|1995ApJ...440..606Z|1995ApJ...444...64S|1995ApJS...97....1L|1994A&A...291...74P|1994AJ....107.1219E|1994AJ....108.1163K|1994ApJ...426..502L|1994ApJ...427..125L|1994ApJ...436...33B|1994ApJS...92...53W|1994PASP..106..646K|1993ApJ...411...43Y|1993ApJ...413..116S|1993ApJ...413..453N|1993ApJ...413L..63K|1993ApJ...418..601Z|1993ApJS...86..365P|1993ApJS...87....1B|1993ApJS...87..451H|1992A&A...262..401B|1992ApJ...398..454W|1992ApJ...400..435K|1992MNRAS.254...30G|1991A&A...242...49J|1991ApJ...371L..51C|1991ApJ...378..476E|1991ApJS...75..645K|1990ApJS...72..471D|1990ApJS...74..675B|1990ApJS...74..869B|1990MNRAS.246..369L|1989A&A...209...27P|1989AJ.....97..777E|1989AJ.....97..957N|1989AJ.....98.1195K|1989ApJ...338..630B|1989ApJ...339..674M|1989ApJ...347...29S|1989ApJS...69....1H|1989MNRAS.240..129Y|1988ApJ...329..122H|1988ApJ...334...22S|1988IUEEN..29...45.|1987ApJ...319...28Y|1987ApJS...63..615N|1987ApJS...64..667T|1987Natur.327...40S|1986ApJ...302...56W|1986ApJ...305...57T|1986ApJ...305...68S|1986ApJS...61..305G|1986MNRAS.218..331W|1985A&AS...61..191B|1985ApJ...298..448W|1984ApJ...279..465M|1984ApJ...279..485S|1984ApJS...54..495G|1983ApJ...269..352S|1983PASAu...5....2W|1980A&AS...41...21G|1979ApJ...232..659G|1979LicOB.838....1G|1978ApJS...38..187P|1971AuJPA..19....1W,Seyfert1,11.77466105461,3.33188467509,1,0.624,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.7746611d3.3318847d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.62</a>,circle,-5.13461622663957,-0.9060872392104538,-5.097317266805579,-0.8995052260570539,0,0.075,0.24,-6.094356539657036,16.26,17.19,h_0044p030fos_spc.fits,1215.67,1974.2480800000003,430.8072903033036,1392.1013282158137,31.203343103304974
UCAC4 467-001098,11.76052526069,3.32996527746,14,14,0.03680000081658363,0.0210999995470047,90,A,O,2020yCat.1350....0G,Star,,15.821999549865723,16.211000442504883,15.805999755859375,2016ApJS..224....2H|2003A&A...406..535Z|1994PASP..106..646K,Star,11.76052526069,3.32996527746,1,,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.7605253d3.3299653d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             nan</a>,circle,-5.61388056533954,-1.277016715848379,-5.572600701960534,-1.267626584556952,0,0.075,0.24,0.0,99.9,99.9,None,0.0,0.0,402.4902627263883,1428.6615924585026,
WiggleZ R01J004712938+03215309,11.803945,3.364718,8,8,,,0,C,O,2018MNRAS.474.4151D,Galaxy,0.63062,,20.829999923706055,20.719999313354492,2018MNRAS.474.4151D,Galaxy,11.803945,3.364718,1,0.63062,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.8039450d3.3647180d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.63</a>,circle,-4.755675691544029,0.92585556807425,-4.721392934502849,0.9191812522557951,0,0.075,0.24,-3.788138250812202,22.8316,22.7806,None,1215.67,1982.2958154,570.7062501735227,1363.1840718848346,208.60474993752285
SDSS J004711.99+032513.2,11.79995294478,3.42031004234,14,14,0.5382000207901001,0.3537999987602234,90,A,O,2020yCat.1350....0G,QSO,0.5921,,20.631099700927734,20.466999053955078,2021ApJ...912...91T|2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..234...16C|2018ApJS..235...11C|2017A&A...597A..79P|2015MNRAS.452.4153A|2014A&A...563A..54P,QSO,11.79995294478,3.42031004234,1,0.5921,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.7999529d3.4203100d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.59</a>,circle,-6.085175962151028,2.889879528794923,-6.03931996470315,2.868102293572583,0,0.075,0.24,-4.676033726367423,21.1046,99.9,None,1215.67,1935.468207,720.6232533517373,1464.5630742079347,140.3050979717368
SDSS J004706.44+032717.0,11.77687,3.454724,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.329692,,19.805400848388672,19.575899124145508,2020ApJS..250....8L,QSO,11.77687,3.454724,1,1.329692,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.7768700d3.4547240d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.33</a>,circle,-7.666447918963501,3.668036906898576,-7.605606908694709,3.6389273279282546,0,0.075,0.24,7.528960899976264,20.4191,21.8744,None,911.8,2124.2131656,779.9174867637118,1585.0466852842085,1079.1508384597125
SDSS J004727.74+031439.8,11.865604,3.244401,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.277463,,22.17020034790039,21.948400497436523,2020ApJS..250....8L,QSO,11.865604,3.244401,1,1.277463,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.8656040d3.2444010d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.28</a>,circle,0.07258117021796173,-2.1986425649309393,0.07207816617498436,-2.1834054711240842,0,0.075,0.24,-1.1783370243520834,23.4107,99.9,None,911.8,2076.5907634,332.04573299045506,994.4555256788474,409.3586904344551
SDSS J004637.89+032328.4,11.6579058618085,3.3912026286276,14,14,1.63919997215271,1.3508000373840332,90,A,O,2018yCat.1345....0G,QSO,0.623,,20.65399932861328,20.5935001373291,2021ApJ...912...91T|2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..234...16C|2018ApJS..235...11C|2017A&A...597A..79P|2015MNRAS.452.4153A|2014A&A...563A..54P,QSO,11.6579058618085,3.3912026286276,1,0.623,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.6579059d3.3912026d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.62</a>,circle,-10.69208958407555,-1.1989997751271146,-10.600300653569366,-1.1887066601872638,0,0.075,0.24,-6.457203262387262,21.2926,21.6684,None,1215.67,1973.03241,408.56102613944125,1815.407742582259,3.292056739441364
LAMOST J004739.78+031756.0,11.91577,3.29889,7,7,,,0,D,O,2018MNRAS.474.1873W,Galaxy,0.097006,,18.412080764770508,17.710630416870117,2018MNRAS.474.1873W,Galaxy,11.91577,3.29889,1,0.097006,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.9157700d3.2988900d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.10</a>,circle,0.758950141844402,0.875017188285276,0.7537303424130757,0.8689991194162031,0,0.075,0.24,2.9199563556921877,21.0288,99.9,None,1908.7,2093.8553521999997,566.8460861089387,942.020742891302,724.6120273609375
SDSS J004740.86+031651.9,11.920262,3.2811,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.212011,,20.105199813842773,19.656999588012695,2020ApJS..250....8L,QSO,11.920262,3.2811,1,1.212011,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.9202620d3.2811000d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.21</a>,circle,1.3027435883478349,0.3148496774709426,1.293774830920735,0.3126820902277625,0,0.075,0.24,-2.297611376488243,20.5941,99.9,None,911.8,2016.9116298,524.0524684790587,900.4788591599435,323.2606633470582
SDSS J004721.59+032825.1,11.83998809179,3.47363469516,14,14,0.9609000086784363,0.6165000200271606,90,A,O,2020yCat.1350....0G,QSO,0.674,,20.874399185180664,20.731300354003906,2021ApJ...912...91T|2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..235...11C|2017A&A...597A..79P|2014A&A...563A..54P,QSO,11.83998809179,3.47363469516,1,0.674,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.8399881d3.4736347d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.67</a>,circle,-5.746832565085274,5.705270275862294,-5.701795597881545,5.660559025379115,0,0.075,0.24,4.147972141779119,21.4766,99.9,None,1215.67,2035.03158,935.4276173368551,1438.5996613755035,819.0747801368555
